#;Nome;Squadra Serie A;Ruolo;Ruolo Mantra
5513;Dumfries;Inter;D;E
6294;Ndour;Fiorentina;C;M/C
5298;Pobega;Bologna;C;M/C
4896;Maldini;Lazio;C;T/A
788;Freuler;Bologna;C;M/C
6664;Delprato;Parma;D;B/Dd/E
6496;Bartesaghi;Milan;D;Ds/E
7146;Tourè I.;Pisa;C;E/M
5888;Casadei;Torino;C;C/T
5651;Harrison;Fiorentina;C;W
5301;Luis Henrique;Inter;C;E/W
5131;Gilmour;Napoli;C;M/C
4870;Adopo;Cagliari;C;M/C
6814;Norton-Cuffy;Genoa;D;Dd/E
5862;Valeri;Parma;D;Ds/E
2678;Fullkrug;Milan;A;Pc
505;Bonazzoli;Cremonese;A;A
5823;Baldanzi;Genoa;C;T/A
4349;Nicolussi Caviglia;Parma;C;M/C
2528;Matic;Sassuolo;C;M/C
5877;Carlos Augusto;Inter;D;B/Ds/E
5701;Obert;Cagliari;D;Ds/Dc
5449;Parisi;Fiorentina;D;E
2640;Kolasinac;Atalanta;D;B/Ds/E
6001;Banda;Lecce;A;W/A
7331;Loyola;Pisa;C;M/C
6898;Keita M.;Parma;C;M/C
184;Bernardeschi;Bologna;C;W/A
4657;Celik;Roma;D;B/Dd/E
2521;De Gea;Fiorentina;P;Por
6669;Bonny;Inter;A;Pc
6190;Pisilli;Roma;C;C
5318;Tramoni M.;Pisa;C;W/T
4199;Loftus-Cheek;Milan;C;C/T
7219;Bernasconi;Atalanta;D;E
7155;Muharemovic;Sassuolo;D;Dc
5833;Gila;Lazio;D;Dc
4401;Gabbia;Milan;D;Dc
2724;Buongiorno;Napoli;D;Dc
256;Juan Jesus;Napoli;D;Ds/Dc
572;Meret;Napoli;P;Por
7318;Gandelman;Lecce;C;C/T
6394;Ramadani;Lecce;C;M/C
6054;Moro N.;Bologna;C;M/C
6020;Ellertsson;Genoa;C;C/W
5858;Ferguson;Bologna;C;C/T
5286;Akpa Akpro;Verona;C;M/C
2529;Mkhitaryan;Inter;C;C/T
6867;Valle;Como;D;Ds/E
6639;Frese;Verona;D;Ds/E
6550;Garcia U.;Sassuolo;D;B/Ds/E
5620;Tavares N.;Lazio;D;Ds/E
4807;Hermoso;Roma;D;Dc
460;Romagnoli;Lazio;D;Dc
7347;Bowie;Verona;A;A
7128;Kuhn;Como;A;W/A
7138;Ordonez C.;Parma;C;M/C
6271;El Aynaoui;Roma;C;M/C
6015;Berisha M.;Lecce;C;C/T
5992;Bondo;Cremonese;C;M/C
5735;Volpato;Sassuolo;C;W/T
5453;Ricci S.;Milan;C;M/C
4404;Thorsby;Cremonese;C;C/T
1976;Mazzitelli;Cagliari;C;M/C
801;Gagliardini;Verona;C;M/C
7212;Heggem;Bologna;D;Ds/Dc
6485;Kristensen T.;Udinese;D;Dd/Dc
6202;Beukema;Napoli;D;Dc
5739;De Winter;Milan;D;Dd/Dc
5555;Kamara H.;Udinese;D;Ds/E
5526;Scalvini;Atalanta;D;Dc
4502;Gallo;Lecce;D;Ds/E
4374;Walukiewicz;Sassuolo;D;Dd/Dc
4137;Diego Carlos;Como;D;Dc
2188;Marusic;Lazio;D;Dd/Ds/E
5876;Di Gregorio;Juventus;P;Por
7316;Durosinmi;Pisa;A;Pc
7127;Addai;Como;A;W/A
4436;Cambiaghi;Bologna;A;A
2489;Pedro;Lazio;A;A
608;Zapata D.;Torino;A;Pc
7208;Miller L.;Udinese;C;M/C
7149;Marin M.;Pisa;C;M/C
6424;Prati;Torino;C;M/C
6252;Folorunsho;Cagliari;C;C/T
6218;Oristanio;Parma;C;W/T/A
5688;Harroui;Verona;C;W/T
5674;Basic;Lazio;C;C
5119;Samardzic;Atalanta;C;T
1871;Deiola;Cagliari;C;M/C
7255;Britschgi;Parma;D;Dd/Ds/E
7235;Troilo;Parma;D;Dc
7068;Vitik;Bologna;D;Dc
7014;Smolcic I.;Como;D;Dd/Dc
6990;Veiga D.;Lecce;D;Dd/E
6672;Idzes;Sassuolo;D;Dc
5520;Cambiaso;Juventus;D;E
2273;Caracciolo A.;Pisa;D;Dc
2160;Gosens;Fiorentina;D;E
787;Djimsiti;Atalanta;D;Dc
4236;Muric;Sassuolo;P;Por
6895;Dominguez B.;Bologna;A;W/A
6643;Dallinga;Bologna;A;Pc
7070;Sucic P.;Inter;C;C
7028;Bernede;Verona;C;C
6629;Dele-Bashiru;Lazio;C;C/T
6575;Zaragoza;Roma;C;W/A
6486;Suslov;Verona;C;W/T
5784;Aebischer;Pisa;C;C
5295;Musah;Atalanta;C;C/W
4459;Rovella;Lazio;C;M/C
2334;Leris;Pisa;C;W
7018;Nelsson;Verona;D;Dc
6986;Rensch;Roma;D;B/Dd/E
6642;Coco;Torino;D;Dc
6631;Ghilardi;Roma;D;Dc
6013;Barbieri;Cremonese;D;Dd/Ds/E
5835;Baschirotto;Cremonese;D;Dc
5812;Terracciano F.;Cremonese;D;Dd/Ds/E
5427;Gutierrez;Napoli;D;Ds/E
5307;Valenti;Parma;D;Dc
5010;Ismajli;Torino;D;Dc
7162;Giovane;Napoli;A;A
7001;N'Dri;Lecce;A;W/A
6981;Vaz;Roma;A;Pc
6556;Noslin;Lazio;A;A
6365;Ferguson E.;Roma;A;Pc
7209;Sorensen O.;Parma;C;C
7145;Piccinini G.;Pisa;C;E/M
7132;Collocolo;Cremonese;C;M/C
6980;Venturino;Roma;C;W
6815;Fadera;Sassuolo;C;W
5998;Zerbin;Cremonese;C;E/W
5813;Miretti;Juventus;C;C/T
5761;Zhegrova;Juventus;C;W
5685;Koopmeiners;Juventus;C;C/T
5319;Sohm;Bologna;C;C
4890;Tameze;Torino;C;M/C
7329;Obrador;Torino;D;Ds/E
7220;Belghali;Verona;D;Dd/E
7143;Angori;Pisa;D;Ds/E
7139;Canestrelli;Pisa;D;Dc
6916;Ahanor;Atalanta;D;B/Ds/E
6663;Circati;Parma;D;Dc
6660;Marcandalli;Genoa;D;Dc
6632;Gaspar K.;Lecce;D;Dc
6426;Pedersen;Torino;D;Dd/E
6042;Lucumì;Bologna;D;Dc
5603;Pongracic;Fiorentina;D;Dc
5527;Zanoli;Udinese;D;Dd/E
4887;Bellanova;Atalanta;D;E
4734;Miranda J.;Bologna;D;Ds/E
4378;Ranieri L.;Fiorentina;D;Ds/Dc
4210;Mina;Cagliari;D;Dc
2593;Martin;Genoa;D;Ds/E
791;Sabelli;Genoa;D;Dd/Ds/E
7332;Bijlow;Genoa;P;Por
6462;Okoye;Udinese;P;Por
7344;Stojilkovic;Pisa;A;Pc
7252;Stulic;Lecce;A;Pc
5918;Sulemana K.;Atalanta;A;A
5506;Ekuban;Genoa;A;A
4359;Piccoli;Fiorentina;A;Pc
7341;Amorim;Genoa;C;M/C
7198;Piotrowski;Udinese;C;C
6593;Akinsanmiro;Pisa;C;C/T
6549;Pierotti;Lecce;C;W/A
6246;Lipani;Sassuolo;C;M/C
6112;Iling Junior;Pisa;C;E/W
6024;Sulemana I.;Cagliari;C;M/C
5561;Stengs;Pisa;C;W/T
5540;Niasse;Verona;C;M/C
5036;Caqueret;Como;C;C/T
4970;Messias;Genoa;C;C/W
4364;Gaetano;Cagliari;C;T
795;El Shaarawy;Roma;C;W
7352;Edmundsson;Verona;D;Dc
7268;Rodriguez Ju.;Cagliari;D;Ds/Dc
7240;Siebert;Lecce;D;Dc
6495;Comuzzo;Fiorentina;D;Dc
6046;Hien;Atalanta;D;Dc
6039;Cabal;Juventus;D;B/Ds/E
5851;Doig;Sassuolo;D;Ds/E
5840;Olivera;Napoli;D;Ds/E
5820;Bertola;Udinese;D;Dc
5532;Bradaric;Verona;D;Ds/E
5273;Estupinan;Milan;D;Ds/E
4385;Lazaro;Torino;D;Dd/E
393;Luperto;Cremonese;D;Dc
7349;Kulenovic;Torino;A;Pc
7313;Ratkov;Lazio;A;Pc
7008;Gimenez;Milan;A;Pc
6836;Meister;Pisa;A;Pc
6675;Dovbyk;Roma;A;Pc
6439;Cheddira;Lecce;A;Pc
6314;Openda;Juventus;A;Pc
6243;Borrelli;Cagliari;A;Pc
6207;Almqvist;Parma;A;W/A
5672;Dia;Lazio;A;Pc
5500;Cancellieri;Lazio;A;W/A
5471;Djuric;Cremonese;A;Pc
5336;Nzola;Sassuolo;A;Pc
2012;Milik;Juventus;A;Pc
479;Sanabria;Cremonese;A;Pc
313;Morata;Como;A;Pc
247;Pavoletti;Cagliari;A;Pc
7203;Jashari;Milan;C;C
6984;Ondrejka;Parma;C;W/A
6640;Felici;Cagliari;C;W
6458;Serdar;Verona;C;C
6274;Diouf;Inter;C;C
6206;Fabbian;Fiorentina;C;C/T
6191;Belahyane;Lazio;C;M/C
5610;Vranckx;Sassuolo;C;M/C
5290;Estevez;Parma;C;M/C
4284;Sergi Roberto;Como;C;M/C
2848;Frattesi;Inter;C;C/T
2839;Sottil;Lecce;C;W/A
27;Grassi;Cremonese;C;M/C
7274;Zè Pedro;Cagliari;D;Dc
7260;Ziolkowski;Roma;D;Dc
7253;Bella-Kotchap;Verona;D;Dc
7175;Joao Mario;Bologna;D;E
7125;Idrissi R.;Cagliari;D;Ds/E
7011;Slotsager;Verona;D;Dc
6809;Marianucci;Torino;D;Dc
6230;Dossena;Cagliari;D;Dc
6047;Ehizibue;Udinese;D;Dd/E
5578;Kossounou;Atalanta;D;Dd/Dc
5435;Moreno Alb.;Como;D;Ds/E
4461;Zappa;Cagliari;D;B/Dd/E
4433;Zortea;Bologna;D;E
2653;Lykogiannis;Bologna;D;Ds/E
2006;Lirola;Verona;D;B/Dd/E
770;Pezzella Giu.;Cremonese;D;Ds/E
294;Rugani;Fiorentina;D;Dc
6662;Corvi;Parma;P;Por
133;Skorupski;Bologna;P;Por
7249;Buksa;Udinese;A;Pc
7183;Aboukhlal;Torino;A;A
6822;Ekhator;Genoa;A;A
6555;Moumbagna;Cremonese;A;Pc
7246;Sala A.;Lecce;C;C
6889;Anjorin;Torino;C;C/T
6170;Gineitis;Torino;C;C
5850;Lovric;Verona;C;C
7356;Mlacic;Udinese;D;Dc
7211;Athekame;Milan;D;Dd/E
7069;Fortini;Fiorentina;D;E
6977;Otoa;Genoa;D;Dc
5994;Ebosse;Torino;D;Ds/Dc
5498;Casale;Bologna;D;Dc
5481;Mazzocchi;Napoli;D;Dd/Ds/E
5168;Tsimikas;Roma;D;Ds/E
4263;Kabasele;Udinese;D;Dc
2745;Calabresi;Pisa;D;B/Dd/E
2728;Pellegrini Lu.;Lazio;D;Ds/E
1891;Ceccherini;Cremonese;D;Dd/Dc
612;Bianchetti;Cremonese;D;Dc
513;Acerbi;Inter;D;Dc
322;De Vrij;Inter;D;Dc
7161;Bayo V.;Udinese;A;Pc
6519;Camarda;Lecce;A;Pc
6159;Sarr A.;Verona;A;A
7276;Cremaschi;Parma;C;C
7254;Lorran;Pisa;C;T
7165;Liteta;Cagliari;C;M/C
7157;Iannoni;Sassuolo;C;C
7010;Al-Musrati;Verona;C;M/C
6917;Masini;Genoa;C;M/C
6481;Payero;Cremonese;C;C
6010;Fazzini;Fiorentina;C;C/T
6005;Ilkhan;Torino;C;C/T
5457;Maleh;Cremonese;C;M/C
5007;Ilic;Torino;C;C
4711;Kostic;Juventus;C;E/W
7335;Zatterstrom;Genoa;D;Dc
7325;Bozhinov;Pisa;D;Dc
7131;Floriani Mussolini;Cremonese;D;Dd/E
7130;Folino;Cremonese;D;Dc
6957;Valentini N.;Verona;D;Dc
6896;Van Der Brempt;Como;D;Dd/E
6211;Zemura;Udinese;D;Ds/E
5678;Holm;Juventus;D;Dd/E
5156;Nkounkou;Torino;D;Ds/E
4665;Maripan;Torino;D;Dc
2525;Darmian;Inter;D;B/Dd/E
2279;Romagna;Sassuolo;D;Dc
697;Cuadrado;Pisa;D;E
487;De Silvestri;Bologna;D;Dd/E
388;Albiol;Pisa;D;Dc
5320;Paleari;Torino;P;Por
761;Audero;Cremonese;P;Por
7213;Frigan;Parma;A;Pc
6630;Mosquera;Verona;A;Pc
7036;Bakola;Sassuolo;C;C/T
6212;Zarraga;Udinese;C;M/C
5872;Helgason;Lecce;C;C/T
7326;Helland;Bologna;D;Dd/Dc
7182;Ndaba;Lecce;D;Ds/E
7012;Provstgaard;Lazio;D;Dc
6985;Candè;Sassuolo;D;Ds/Dc
5831;Gatti;Juventus;D;Dc
4772;Angelino;Roma;D;E
2263;Lazzari;Lazio;D;Dd/E
7345;Przyborek;Lazio;C;W/T
7150;Vural;Pisa;C;C
6219;Boloca;Sassuolo;C;M/C
7222;Cham;Verona;D;Dd/Ds/E
6665;Coulibaly W.;Sassuolo;D;Dd/Ds/E
418;Goldaniga;Como;D;Dc
327;Patric;Lazio;D;Dd/Dc
7357;Lahdo;Como;C;C/T
4677;Cornet;Genoa;C;W
7271;Odogu;Milan;D;Dc
7202;Ndiaye;Parma;D;Dc
6992;Oyegoke;Verona;D;B/Dd/E
6870;Faye;Cremonese;D;Dc
6351;Lamptey;Fiorentina;D;Dd/Ds/E
252;Biraghi;Torino;D;Ds/E
6641;Suzuki;Parma;P;Por
2722;Ravaglia F.;Bologna;P;Por
6827;Njie;Torino;A;A
7319;Fofana Sa.;Lecce;C;M/C
6538;Onana J.;Genoa;C;M/C
5788;Sabiri;Fiorentina;C;T
7196;Denoon;Pisa;D;Dc
7140;Coppola F.;Pisa;D;Dc
6149;Carboni F.;Parma;D;Ds/E
140;Hysaj;Lazio;D;Dd/Ds/E
5515;Okereke;Cremonese;A;A
7353;Pedro Felipe;Sassuolo;D;Dc
7156;Pieragnolo;Sassuolo;D;Ds/E
6883;Jean;Lecce;D;Dc
5899;Gigot;Lazio;D;Dc
4957;Montipò;Verona;P;Por
2271;Nicolas;Pisa;P;Por
7147;Hojholt;Pisa;C;M/C
6645;Marchwinski;Lecce;C;T
7164;Perez M.;Lecce;D;Dd/Dc
2861;Semper;Pisa;P;Por
7342;Elphege;Parma;A;Pc
7338;Albarracin;Cagliari;A;A
7317;Trepy;Cagliari;A;Pc
7309;Isaac;Verona;A;Pc
7277;Arena A.;Roma;A;Pc
7272;Gueye;Udinese;A;Pc
7262;Balentien;Milan;A;A
7158;Moro L.;Sassuolo;A;Pc
7322;Ngom;Lecce;C;M/C
7248;Gorter;Lecce;C;M/C
6677;Adzic;Juventus;C;C/T
7346;Raterink;Cagliari;D;Dd/E
7312;Arizala;Udinese;D;Ds/E
7238;Kouadio;Fiorentina;D;Dc
7363;Siviero;Torino;P;Por
7301;Tornqvist;Como;P;Por
7285;Ferrante;Napoli;P;Por
7261;Cavlina;Como;P;Por
7236;Toniolo;Verona;P;Por
7185;Nunziante;Udinese;P;Por
7179;Israel;Torino;P;Por
7172;Pessina Mas.;Bologna;P;Por
7169;Zelezny;Roma;P;Por
7042;Calligaris;Inter;P;Por
6991;Siegrist;Genoa;P;Por
6842;Sava;Udinese;P;Por
6813;Torriani;Milan;P;Por
6650;Sherri;Cagliari;P;Por
6523;Samooja;Lecce;P;Por
6505;Nava;Cremonese;P;Por
6417;Furlanetto;Lazio;P;Por
6403;Christensen O.;Fiorentina;P;Por
5338;Rinaldi;Parma;P;Por
5116;Martinez Jo.;Inter;P;Por
4929;Ciocci;Cagliari;P;Por
4867;Turati;Sassuolo;P;Por
2845;Contini;Napoli;P;Por
2815;Terracciano;Milan;P;Por
2809;Vigorito;Como;P;Por
2401;Fruchtl;Lecce;P;Por
2297;Rossi F.;Atalanta;P;Por
2211;Silvestri;Cremonese;P;Por
2127;Satalino;Sassuolo;P;Por
1930;Pinsoglio;Juventus;P;Por
1926;Di Gennaro;Inter;P;Por
610;Gollini;Roma;P;Por
574;Scuffet;Pisa;P;Por
543;Padelli;Udinese;P;Por
511;Perilli;Verona;P;Por
219;Sommariva;Genoa;P;Por
188;Leali;Genoa;P;Por
158;Lezzerini;Fiorentina;P;Por
4;Sportiello;Atalanta;P;Por
